id,ticker,dir,entry_ts,exit_ts,entry_px,exit_px,why,pnl_underlying
37,TSLA,-1,2026-07-13 09:35:00-04:00,2026-07-13 09:40:00-04:00,396.4100036621094,395.5127913463496,TARGET,0.22633442836233827
38,QQQ,-1,2026-07-13 09:35:00-04:00,2026-07-13 09:40:00-04:00,715.6400146484375,715.0476509180531,TARGET,0.08277398108815445
39,NVDA,-1,2026-07-13 09:40:00-04:00,2026-07-13 09:50:00-04:00,208.1100006103516,207.75370968122468,TARGET,0.17120317528325035
40,AAPL,1,2026-07-14 09:35:00-04:00,2026-07-14 09:45:00-04:00,314.8500061035156,315.3801378830999,TARGET,0.1683759788176676
41,NVDA,-1,2026-07-14 09:35:00-04:00,2026-07-14 09:40:00-04:00,204.2449951171875,203.8221707642076,TARGET,0.20701821982824498
42,QQQ,-1,2026-07-14 10:05:00-04:00,2026-07-14 10:15:00-04:00,716.6699829101562,715.8347538511194,TARGET,0.11654305035146313
43,TSLA,-1,2026-07-14 11:50:00-04:00,2026-07-14 13:00:00-04:00,396.0350036621094,395.3367973575272,TARGET,0.1762991397542941
44,QQQ,-1,2026-07-15 09:35:00-04:00,2026-07-15 09:40:00-04:00,722.0499877929688,721.4974842621542,TARGET,0.07651873695106981
45,AAPL,1,2026-07-15 09:40:00-04:00,2026-07-15 09:45:00-04:00,321.1700134277344,321.5973618125749,TARGET,0.1330598645494873
46,SPY,-1,2026-07-15 09:45:00-04:00,2026-07-15 09:50:00-04:00,753.5599975585938,753.2090901754723,TARGET,0.04656661503507971
47,TSLA,-1,2026-07-15 09:50:00-04:00,2026-07-15 10:15:00-04:00,398.0750122070313,397.22599074628994,TARGET,0.21328177722941552
48,NVDA,-1,2026-07-15 09:50:00-04:00,2026-07-15 10:00:00-04:00,211.06500244140625,210.66646865628456,TARGET,0.18882040154066868
49,NVDA,-1,2026-07-16 09:35:00-04:00,2026-07-16 09:40:00-04:00,208.4781036376953,208.07127503221938,TARGET,0.1951421268599728
50,QQQ,-1,2026-07-16 09:35:00-04:00,2026-07-16 09:40:00-04:00,710.0999755859375,709.4081909781048,TARGET,0.09742073392719988
51,TSLA,-1,2026-07-16 09:40:00-04:00,2026-07-16 09:50:00-04:00,386.6499938964844,385.92148866277483,TARGET,0.1884146502546123
52,AAPL,1,2026-07-16 09:50:00-04:00,2026-07-16 09:55:00-04:00,329.8554077148437,330.3317024358365,TARGET,0.1443950015227815
53,QQQ,-1,2026-07-17 09:35:00-04:00,2026-07-17 09:40:00-04:00,688.1099853515625,686.9975638038211,TARGET,0.16166333455734663
54,TSLA,-1,2026-07-17 09:35:00-04:00,2026-07-17 09:40:00-04:00,378.3800048828125,377.3630096730492,TARGET,0.2687761500712176
55,NVDA,-1,2026-07-17 09:35:00-04:00,2026-07-17 09:40:00-04:00,199.42999267578125,198.89382143311727,TARGET,0.2688518589757213
56,AAPL,1,2026-07-17 09:35:00-04:00,2026-07-17 09:50:00-04:00,334.9599914550781,331.2950134277344,STOP,-1.0941539649027798
57,SPY,1,2026-07-17 09:45:00-04:00,2026-07-17 09:50:00-04:00,743.030029296875,743.7514715200084,TARGET,0.09709462534321862
