id,ticker,dir,entry_utc,exit_utc,entry_px,exit_px,why,pnl
100,TSLA,-1,2026-07-15T16:14:00Z,2026-07-15T16:21:00Z,392.96,392.5030115705707,TARGET,0.11629387963896051
101,QQQ,-1,2026-07-15T16:14:00Z,2026-07-15T16:21:00Z,712.14,711.7562112426756,TARGET,0.05389231855034068
102,SPY,-1,2026-07-15T16:14:00Z,2026-07-15T16:17:00Z,751.2,750.9663141354349,TARGET,0.031108341928265684
103,SPY,-1,2026-07-15T16:20:00Z,2026-07-15T16:24:00Z,750.81,750.5746122618636,TARGET,0.03135117248522214
104,TSLA,-1,2026-07-15T16:21:00Z,2026-07-15T16:24:00Z,392.49,392.066824138175,TARGET,0.10781825315932371
105,TSLA,-1,2026-07-15T16:24:00Z,2026-07-15T16:36:00Z,391.85,391.4167210756452,TARGET,0.11057264880816511
106,SPY,-1,2026-07-15T16:24:00Z,2026-07-15T16:35:00Z,750.54,750.3088469676981,TARGET,0.030798229581621792
107,SPY,-1,2026-07-15T16:35:00Z,2026-07-15T19:55:00Z,750.42,754.45,EOD,-0.5370325950801
108,TSLA,-1,2026-07-15T16:36:00Z,2026-07-15T16:41:00Z,391.17,390.72627428677276,TARGET,0.11343551735236651
109,SPY,-1,2026-07-16T13:35:00Z,2026-07-16T13:39:00Z,752.02,751.68153136378,TARGET,0.04500793013749634
110,NVDA,-1,2026-07-16T13:35:00Z,2026-07-16T13:42:00Z,208.6204,208.16116942202098,TARGET,0.2201273595386711
111,QQQ,-1,2026-07-16T13:35:00Z,2026-07-16T13:39:00Z,710.85,710.1995856539622,TARGET,0.0914981143754367
112,SPY,-1,2026-07-16T13:39:00Z,2026-07-16T13:41:00Z,751.6995,751.3716260055945,TARGET,0.04361769489076717
113,QQQ,-1,2026-07-16T13:39:00Z,2026-07-16T13:41:00Z,710.1,709.4241032073307,TARGET,0.09518332525972083
114,QQQ,-1,2026-07-16T13:41:00Z,2026-07-16T13:44:00Z,709.29,708.5698389899943,TARGET,0.10153266083064108
115,SPY,-1,2026-07-16T13:41:00Z,2026-07-16T13:48:00Z,751.26,750.9027664282933,TARGET,0.047551256782835366
116,NVDA,-1,2026-07-16T13:44:00Z,2026-07-16T13:46:00Z,207.785,207.3146699002388,TARGET,0.22635421217180487
117,TSLA,-1,2026-07-16T13:44:00Z,2026-07-16T13:54:00Z,386.65,385.84523096995,TARGET,0.20813889306865485
118,QQQ,-1,2026-07-16T13:44:00Z,2026-07-16T13:48:00Z,708.39,707.6683377408956,TARGET,0.10187358081062572
